Posição,Idade,Overall,Valor (€),Valor (R$)
CA,15,99,96049800.0,576298800
CA,16,99,96049800.0,576298800
CA,17,99,96049800.0,576298800
CA,18,99,96049800.0,576298800
CA,19,99,96049800.0,576298800
CA,20,99,96049800.0,576298800
CA,21,99,96049800.0,576298800
SAT,15,99,96049800.0,576298800
SAT,16,99,96049800.0,576298800
SAT,17,99,96049800.0,576298800
SAT,18,99,96049800.0,576298800
SAT,19,99,96049800.0,576298800
SAT,20,99,96049800.0,576298800
SAT,21,99,96049800.0,576298800
PTE,15,99,96049800.0,576298800
PTE,16,99,96049800.0,576298800
PTE,17,99,96049800.0,576298800
PTE,18,99,96049800.0,576298800
PTE,19,99,96049800.0,576298800
PTE,20,99,96049800.0,576298800
PTE,21,99,96049800.0,576298800
PTD,15,99,96049800.0,576298800
PTD,16,99,96049800.0,576298800
PTD,17,99,96049800.0,576298800
PTD,18,99,96049800.0,576298800
PTD,19,99,96049800.0,576298800
PTD,20,99,96049800.0,576298800
PTD,21,99,96049800.0,576298800
CA,15,98,94119200.0,564715200
CA,16,98,94119200.0,564715200
CA,17,98,94119200.0,564715200
CA,18,98,94119200.0,564715200
CA,19,98,94119200.0,564715200
CA,20,98,94119200.0,564715200
CA,21,98,94119200.0,564715200
SAT,15,98,94119200.0,564715200
SAT,16,98,94119200.0,564715200
SAT,17,98,94119200.0,564715200
SAT,18,98,94119200.0,564715200
SAT,19,98,94119200.0,564715200
SAT,20,98,94119200.0,564715200
SAT,21,98,94119200.0,564715200
PTE,15,98,94119200.0,564715200
PTE,16,98,94119200.0,564715200
PTE,17,98,94119200.0,564715200
PTE,18,98,94119200.0,564715200
PTE,19,98,94119200.0,564715200
PTE,20,98,94119200.0,564715200
PTE,21,98,94119200.0,564715200
PTD,15,98,94119200.0,564715200
PTD,16,98,94119200.0,564715200
PTD,17,98,94119200.0,564715200
PTD,18,98,94119200.0,564715200
PTD,19,98,94119200.0,564715200
PTD,20,98,94119200.0,564715200
PTD,21,98,94119200.0,564715200
CA,15,97,92208200.0,553249200
CA,16,97,92208200.0,553249200
CA,17,97,92208200.0,553249200
CA,18,97,92208200.0,553249200
CA,19,97,92208200.0,553249200
CA,20,97,92208200.0,553249200
CA,21,97,92208200.0,553249200
SAT,15,97,92208200.0,553249200
SAT,16,97,92208200.0,553249200
SAT,17,97,92208200.0,553249200
SAT,18,97,92208200.0,553249200
SAT,19,97,92208200.0,553249200
SAT,20,97,92208200.0,553249200
